Z_PK,Z_ENT,Z_OPT,ZMONTH,ZYEAR,ZLASTLATITUDE,ZLASTLONGITUDE,ZLASTPHOTODATE,ZTRAVELLEDDISTANCE,ZLANDWKT,ZPROCESSEDHEATMAPWKT,ZWATERWKT
1,2,1,5,2012,0.0,0.0,,70.9812401243578,,,
2,2,1,3,2018,0.0,0.0,,465.166842124865,,,
3,2,1,8,2016,0.0,0.0,,3527.56736345102,,,
4,2,1,1,2015,0.0,0.0,,1032.6906316802,,,
5,2,1,12,2015,0.0,0.0,,1275.91696457874,,,
6,2,1,12,2016,0.0,0.0,,14496.7513754015,,,
7,2,1,10,2016,0.0,0.0,,6685.96767292031,,,
8,2,1,8,2017,0.0,0.0,,2153.09128524034,,,
9,2,1,2,2014,0.0,0.0,,20.1015723147783,,,
10,2,1,12,2019,0.0,0.0,,884.428865151133,,,
11,2,1,9,2012,0.0,0.0,,749.508674705542,,,
12,2,1,9,2015,0.0,0.0,,8685.72168990141,,,
13,2,1,1,2014,0.0,0.0,,1087.28825452229,,,
14,2,1,2,2010,0.0,0.0,,0.0,,,
15,2,1,11,2016,0.0,0.0,,98.4116699569925,,,
16,2,1,3,2013,0.0,0.0,,1396.67734851118,,,
17,2,1,9,2018,0.0,0.0,,7162.05411627761,,,
18,2,1,10,2009,0.0,0.0,,0.0,,,
19,2,1,9,2016,0.0,0.0,,850.73493682245,,,
20,2,1,6,2017,0.0,0.0,,4867.11469975505,,,
21,2,1,6,2012,0.0,0.0,,47.9761319294947,,,
22,2,1,1,2017,0.0,0.0,,552.209833571933,,,
23,2,1,12,2009,0.0,0.0,,183.761898183121,,,
24,2,1,7,2014,0.0,0.0,,2700.33787656259,,,
25,2,1,7,2016,0.0,0.0,,4358.45331739611,,,
26,2,1,12,2012,0.0,0.0,,431.011724380118,,,
27,2,1,11,2017,0.0,0.0,,2048.15559618804,,,
28,2,1,2,2018,0.0,0.0,,19998.1194306147,,,
29,2,1,3,2015,0.0,0.0,,2750.29470065416,,,
30,2,1,10,2015,0.0,0.0,,9.33488668837196,,,
31,2,1,4,2018,0.0,0.0,,2876.84616081599,,,
32,2,1,7,2017,0.0,0.0,,1765.70625496897,,,
33,2,1,0,0,48.0239445,17.31581667,,539447.273261505,,,
34,2,1,11,2013,0.0,0.0,,999.75149518129,,,
35,2,1,5,2017,0.0,0.0,,376.148067518686,,,
36,2,1,4,2016,0.0,0.0,,2569.59238921209,,,
37,2,1,2,2012,0.0,0.0,,1.30465341738048,,,
38,2,1,6,2019,0.0,0.0,,6909.05611798244,,,
39,2,1,11,2014,0.0,0.0,,1044.01999029039,,,
40,2,1,10,2019,0.0,0.0,,4866.0493070145,,,
41,2,1,9,2011,0.0,0.0,,49.2827188181259,,,
42,2,1,6,2014,0.0,0.0,,210.643995733768,,,
43,2,1,2,2013,0.0,0.0,,26.7969070525489,,,
44,2,1,8,2018,0.0,0.0,,2573.1120375922,,,
45,2,1,8,2019,0.0,0.0,,23230.1578570611,,,
46,2,1,7,2013,0.0,0.0,,7.76386593757174,,,
47,2,1,4,2009,0.0,0.0,,0.0,,,
48,2,1,10,2014,0.0,0.0,,62.3572207884709,,,
49,2,1,7,2019,0.0,0.0,,2247.94315699337,,,
50,2,1,3,2014,0.0,0.0,,408.123292872134,,,
51,2,1,3,2020,0.0,0.0,,292.951377621459,,,
52,2,1,6,2018,0.0,0.0,,4369.75474608447,,,
53,2,1,1,2018,0.0,0.0,,20286.0715043287,,,
54,2,1,7,2015,0.0,0.0,,1946.17717417115,,,
55,2,1,6,2013,0.0,0.0,,2454.79204140123,,,
56,2,1,7,2018,0.0,0.0,,1224.19927517688,,,
57,2,1,5,2014,0.0,0.0,,23.2268903349937,,,
58,2,1,4,2015,0.0,0.0,,2293.65450807243,,,
59,2,1,12,2017,0.0,0.0,,1597.59092473612,,,
60,2,1,9,2009,0.0,0.0,,7405.02755706471,,,
61,2,1,3,2012,0.0,0.0,,16.0299920592861,,,
62,2,1,1,2019,0.0,0.0,,24025.0090057346,,,
63,2,1,12,2013,0.0,0.0,,1535.84812518251,,,
64,2,1,9,2017,0.0,0.0,,266.394087877153,,,
