"since","until","visitedEntityType","visitedEntityKey"
"2019-08-26 19:33:37","2019-08-29 16:34:22",4,"Europe"
"2019-07-22 17:17:05","2019-07-23 07:28:25",0,"SVK"
"2013-03-26 16:12:31","2013-03-26 16:13:40",1,"POL-3170"
"2018-06-18 20:06:05","2018-06-22 11:21:20",1,"FRA-5333"
"2018-06-18 05:37:51","2018-06-18 05:37:51",2,7282
"2019-09-24 17:48:07","2019-10-14 17:24:13",1,"SVK-1051"
"2019-05-31 10:05:48","2019-06-01 06:39:14",1,"SVK-1052"
"2019-08-26 19:33:37","2019-08-27 18:15:31",2,6327
"2018-05-02 16:49:37","2018-05-02 16:50:08",1,"SVK-1051"
"2013-03-26 16:12:31","2013-03-26 16:13:40",0,"POL"
"2018-06-18 05:37:51","2018-06-18 05:37:51",1,"FRA-5333"
"2019-09-24 17:48:07","2019-10-14 17:24:13",0,"SVK"
"2019-08-26 19:33:37","2019-08-27 18:15:31",1,"SVK-1051"
"2018-05-02 16:49:37","2018-05-02 16:50:08",0,"SVK"
"2015-06-06 17:52:50","2015-06-06 17:58:41",1,"GBR-2080"
"2019-08-26 19:33:37","2019-08-27 18:15:31",0,"SVK"
"2016-04-04 18:41:47","2016-04-08 15:00:40",2,6688
"2019-06-24 11:53:41","2019-06-27 11:36:17",1,"NOR-75"
"2018-09-08 12:19:58","2018-09-08 12:22:05",1,"SVK-1056"
"2019-08-26 18:58:17","2019-08-26 18:58:17",4,"North America"
"2016-04-04 18:41:47","2016-04-08 15:00:40",1,"ITA-5461"
"2019-06-24 11:53:41","2019-06-29 17:27:58",0,"NOR"
"2013-03-16 19:39:44","2013-03-22 16:29:59",2,5987
"2016-04-04 18:41:47","2016-04-08 15:00:40",0,"ITA"
"2013-03-16 19:39:44","2013-03-22 16:29:59",1,"DNK-3416"
"2015-04-12 07:59:37","2015-04-12 14:56:37",1,"DEU-1576"
"2019-08-26 18:58:17","2019-08-26 18:58:17",3,13
"2013-05-25 14:13:52","2013-05-25 16:53:31",1,"DNK-3418"
"2019-08-26 18:58:17","2019-08-26 18:58:17",2,7213
"2013-05-25 14:13:52","2013-06-20 18:50:20",0,"DNK"
"2012-10-20 11:12:21","2012-10-20 11:12:53",1,"HUN-3156"
"2019-08-26 18:58:17","2019-08-26 18:58:17",0,"CAN"
"2015-03-28 10:01:59","2015-03-28 10:58:55",2,3350
"2019-10-20 11:58:14","2019-10-20 15:32:53",1,"PRT-746"
"2012-10-20 11:12:21","2012-10-20 11:12:53",0,"HUN"
"2018-12-24 13:59:08","2018-12-24 14:07:51",1,"SVK-1051"
"2016-08-25 16:44:41","2016-08-25 16:44:45",1,"SVK-1051"
"2019-08-26 18:58:17","2019-08-26 18:58:17",1,"CAN-683"
"2016-04-02 15:11:58","2016-04-02 15:11:58",2,5987
"2016-08-25 16:44:41","2016-08-25 16:44:45",0,"SVK"
"2016-04-02 15:11:58","2016-04-02 15:11:58",1,"DNK-3416"
"2015-03-28 10:01:59","2015-03-28 10:58:55",1,"IRL-5568"
"2015-08-23 04:34:16","2015-08-23 09:39:43",1,"JPN-1861"
"2018-06-18 19:35:45","2018-06-18 19:36:53",1,"FRA-5263"
"2014-03-03 19:01:00","2014-06-24 10:40:39",2,6327
"2018-04-30 12:48:54","2018-04-30 12:49:07",1,"AUT-2327"
"2014-03-03 19:01:00","2014-04-13 07:57:05",1,"SVK-1051"
"2018-12-14 10:50:15","2018-12-16 12:57:51",0,"AUT"
"2017-06-09 09:59:31","2017-06-09 16:13:17",1,"DEU-1580"
"2017-10-29 10:43:11","2017-11-17 14:30:02",2,5987
"2018-01-27 22:52:02","2018-01-27 23:16:16",1,"NZL-3401"
"2018-02-09 06:43:52","2018-02-09 07:38:58",1,"NZL-3399"
"2018-12-14 10:50:15","2018-12-16 12:57:51",1,"AUT-2323"
"2017-10-29 10:43:11","2017-11-17 14:30:02",1,"DNK-3416"
"2012-10-20 11:08:50","2012-10-20 11:12:16",1,"SVK-1051"
"2018-12-24 13:50:51","2018-12-24 13:50:52",1,"SVK-1056"
"2015-06-06 14:15:43","2015-06-06 14:26:09",1,"GBR-2077"
"2017-10-29 10:43:11","2017-11-17 14:30:02",0,"DNK"
"2018-06-28 18:47:37","2018-07-01 04:53:24",1,"FRA-5302"
"2016-08-22 06:28:48","2016-08-24 09:30:28",2,7260
"2018-06-28 18:47:37","2018-07-01 04:53:24",0,"FRA"
"2018-06-18 19:18:54","2018-06-18 19:18:57",1,"FRA-5323"
"2016-08-22 06:28:48","2016-08-24 09:30:28",1,"AUT-2331"
"2018-02-09 06:43:31","2018-02-09 06:43:31",2,7308
"2016-08-22 06:28:48","2016-08-24 09:30:28",0,"AUT"
"2014-03-02 11:39:33","2014-03-02 11:40:31",1,"SVK-1052"
"2012-10-20 10:57:58","2012-10-20 10:59:32",1,"SVK-1056"
"2014-02-13 12:56:16","2014-02-13 12:56:16",2,6327
"2015-06-06 13:33:02","2015-06-06 13:44:40",1,"GBR-2064"
"2014-02-13 12:56:16","2014-02-13 12:56:16",1,"SVK-1051"
"2018-08-04 13:17:11","2018-08-04 16:39:51",2,6435
"2019-09-06 15:52:49","2019-09-06 21:25:11",2,7224
"2018-02-09 01:19:19","2018-02-09 06:43:31",1,"NZL-5468"
"2018-06-26 06:17:59","2018-06-27 13:50:15",2,6327
"2017-06-09 07:35:58","2017-06-09 07:36:02",1,"DEU-1573"
"2015-04-11 15:52:44","2015-04-11 16:59:52",2,7167
"2018-06-26 06:17:59","2018-06-27 13:50:15",1,"SVK-1051"
"2018-04-22 09:37:59","2018-04-24 17:38:07",1,"SVK-1051"
"2018-06-26 06:17:59","2018-06-27 13:50:15",0,"SVK"
"2019-09-06 13:54:15","2019-09-06 23:31:59",1,"USA-3522"
"2012-10-18 11:00:47","2012-10-18 11:02:53",1,"SVK-1051"
"2018-04-30 10:49:53","2018-04-30 10:50:17",1,"AUT-2325"
"2018-01-22 04:58:48","2018-01-23 22:39:29",2,7322
"2015-04-11 14:38:34","2015-04-11 16:59:52",1,"DEU-1578"
"2013-05-25 12:51:34","2013-05-25 12:51:37",1,"DNK-3418"
"2015-04-11 14:38:34","2015-04-13 09:36:15",0,"DEU"
"2012-10-12 17:01:38","2012-10-12 17:01:38",1,"SVK-1056"
"2015-06-06 10:50:52","2015-06-06 10:55:44",1,"GBR-2768"
"2014-01-10 14:29:39","2014-01-18 13:29:00",1,"SVK-1056"
"2018-12-10 07:23:51","2018-12-12 19:35:15",1,"SVK-1051"
"2012-10-12 17:01:38","2012-10-20 11:12:16",0,"SVK"
"2019-09-06 02:21:39","2019-09-06 02:21:39",2,1898
"2015-06-05 20:05:51","2015-06-06 21:57:17",2,7266
"2015-06-05 20:05:51","2015-06-05 20:05:51",1,"GBR-2080"
"2019-07-20 11:47:29","2019-07-20 16:00:21",1,"AUT-2322"
"2018-04-30 09:14:18","2018-04-30 09:14:32",1,"AUT-2327"
"2019-07-20 11:47:29","2019-07-20 16:00:21",0,"AUT"
"2018-12-07 22:36:13","2018-12-07 22:37:09",1,"SVK-1056"
"2012-10-06 15:15:21","2012-10-06 15:15:27",1,"HUN-3156"
"2014-12-20 13:37:06","2014-12-20 15:04:20",2,7204
"2015-03-26 20:10:07","2015-03-27 19:52:07",2,7147
"2012-10-06 15:15:21","2012-10-06 15:15:27",0,"HUN"
"2014-12-20 13:37:06","2014-12-20 15:04:20",1,"DNK-3419"
"2015-03-26 20:10:07","2015-03-27 19:52:07",1,"IRL-5575"
"2018-01-22 00:46:08","2018-02-09 17:36:04",3,86
"2018-04-21 10:09:19","2018-04-21 11:46:06",1,"SVK-1056"
"2017-03-10 23:21:39","2017-03-11 21:39:49",3,12
"2018-01-22 00:46:08","2018-01-23 05:04:08",0,"NZL"
"2015-03-26 18:46:22","2015-03-31 12:17:15",3,69
"2017-03-10 23:21:39","2017-03-11 19:29:09",1,"USA-3546"
"2016-12-31 16:23:16","2016-12-31 18:53:46",1,"USA-3558"
"2018-01-22 00:46:08","2018-01-23 05:04:08",1,"NZL-3398"
"2015-03-26 18:46:22","2015-03-26 18:46:22",1,"IRL-5574"
"2015-03-26 18:46:22","2015-03-31 12:17:15",0,"IRL"
"2018-08-24 11:04:15","2018-08-24 15:31:32",2,6954
"2018-08-24 11:04:15","2018-08-24 15:31:32",1,"HRV-1589"
"2018-01-21 09:04:18","2018-01-21 09:04:18",1,"THA-422"
"2015-04-06 18:16:20","2015-04-06 18:35:20",1,"DNK-3416"
"2018-08-24 11:04:15","2018-09-03 06:22:40",0,"HRV"
"2018-01-22 00:46:08","2018-02-09 17:36:04",4,"Australia"
"2019-04-12 03:21:01","2019-04-12 06:04:19",1,"SVK-1056"
"2018-01-27 06:43:11","2018-01-27 07:30:40",2,7320
"2018-10-24 13:47:43","2018-10-26 06:24:30",1,"SVK-1058"
"2015-04-06 18:16:20","2015-05-31 19:16:04",3,73
"2018-08-24 04:25:29","2018-08-24 04:25:29",1,"SVK-1056"
"2015-04-06 18:16:20","2015-04-06 18:35:20",0,"DNK"
"2019-08-19 05:41:54","2019-08-26 17:16:11",1,"SVK-1051"
"2019-10-18 09:53:02","2019-10-18 13:04:14",1,"PRT-5498"
"2016-12-31 15:31:35","2017-01-02 19:36:28",2,7265
"2019-08-16 18:04:30","2019-08-16 18:05:22",1,"SVK-1056"
"2016-12-31 15:31:35","2016-12-31 15:32:45",1,"USA-3559"
"2018-08-04 06:17:12","2018-08-04 18:08:31",1,"POL-3140"
"2018-08-04 06:17:12","2018-08-04 18:08:31",0,"POL"
"2019-01-23 18:24:38","2019-01-23 18:24:50",2,6976
"2016-07-01 19:26:21","2016-07-03 15:40:04",1,"ISL-705"
"2019-08-13 19:42:38","2019-08-26 17:16:11",2,6327
"2016-07-01 19:26:21","2016-07-05 20:28:39",0,"ISL"
"2018-06-17 11:30:27","2018-06-17 14:23:46",2,3918
"2019-08-13 19:42:38","2019-08-13 19:42:38",1,"SVK-1051"
"2016-12-31 13:13:45","2016-12-31 13:13:45",2,685
"2018-06-17 11:30:27","2018-06-17 18:12:14",1,"FRA-5357"
"2016-08-18 11:36:28","2016-08-21 10:34:52",2,5987
"2016-08-18 11:36:28","2016-08-21 10:34:52",1,"DNK-3416"
"2018-01-27 03:17:06","2018-01-27 18:37:09",1,"NZL-5469"
"2016-08-18 11:36:28","2016-08-21 10:34:52",0,"DNK"
"2019-08-10 12:29:59","2019-08-10 12:30:01",1,"SVK-1053"
"2014-07-19 17:03:15","2014-07-22 17:28:03",1,"SVK-1052"
"2013-03-16 10:58:38","2013-03-16 15:45:56",1,"DNK-3417"
"2016-08-09 17:03:51","2016-08-09 17:03:52",1,"SVK-1056"
"2013-06-22 09:33:15","2013-06-22 15:51:56",2,7135
"2014-07-19 17:03:15","2014-07-29 19:14:24",0,"SVK"
"2016-08-09 17:03:51","2016-08-11 14:55:06",0,"SVK"
"2013-06-22 09:33:15","2013-06-23 07:11:58",1,"NOR-921"
"2018-10-21 18:12:06","2018-10-23 10:47:59",1,"SVK-1051"
"2012-07-15 10:42:03","2012-07-15 14:32:56",3,25
"2012-07-15 10:42:03","2012-07-15 14:32:56",4,"Australia"
"2018-01-27 00:33:57","2018-01-27 00:34:05",1,"NZL-3334"
"2012-07-15 10:42:03","2012-07-15 14:32:56",2,7287
"2012-07-15 10:42:03","2012-07-15 14:32:56",1,"AUS-2654"
"2019-08-09 11:21:35","2019-08-09 11:21:36",2,982
"2013-06-22 07:40:42","2013-06-22 07:40:42",1,"NOR-917"
"2012-07-15 10:42:03","2012-07-15 14:32:56",0,"AUS"
"2018-02-08 07:27:48","2018-02-09 01:19:09",1,"NZL-3334"
"2012-07-15 10:32:23","2012-07-15 10:32:23",3,41
"2016-12-31 13:06:27","2016-12-31 13:13:45",1,"USA-3537"
"2018-01-26 08:50:16","2018-01-26 08:50:21",1,"NZL-5468"
"2012-09-25 10:31:28","2012-10-05 14:19:46",1,"SVK-1051"
"2012-07-15 10:32:23","2012-07-15 10:32:23",4,"Asia"
"2019-10-19 17:38:23","2019-10-20 11:45:11",1,"PRT-5498"
"2019-02-01 17:05:07","2019-02-01 19:09:07",2,6976
"2012-07-15 10:32:23","2012-07-15 10:32:23",2,7288
"2012-07-15 10:32:23","2012-07-15 10:32:23",1,"SGP-4871"
"2019-07-19 16:59:37","2019-07-20 07:06:32",1,"SVK-1056"
"2012-07-15 10:32:23","2012-07-15 10:32:23",0,"SGP"
"2012-09-22 14:55:45","2012-09-24 20:21:22",1,"SVK-1056"
"2018-10-20 15:02:52","2018-10-20 15:03:15",1,"SVK-1056"
"2012-09-22 14:55:45","2012-10-05 14:19:46",0,"SVK"
"2018-12-19 18:03:20","2018-12-21 15:50:03",1,"SVK-1051"
"2015-08-26 06:25:11","2015-08-26 10:29:08",2,6551
"2013-06-21 19:37:10","2013-06-22 06:53:06",1,"NOR-921"
"2015-08-26 06:25:11","2015-08-26 10:29:08",1,"JPN-1850"
"2019-10-17 20:41:11","2019-10-17 21:51:46",1,"PRT-746"
"2013-06-21 19:37:10","2013-06-30 11:49:11",0,"NOR"
"2019-06-22 18:12:28","2019-06-23 09:31:56",1,"NOR-900"
"2019-09-16 10:55:10","2019-09-20 04:55:32",2,3623
"2019-06-23 13:15:39","2019-06-23 13:15:43",2,4963
"2015-06-05 15:47:19","2015-06-05 17:08:19",2,2438
"2019-09-16 10:55:10","2019-09-17 10:11:05",1,"DEU-1591"
"2012-07-12 13:54:11","2012-07-14 18:37:15",2,7287
"2015-06-05 15:47:19","2015-06-05 17:08:19",1,"GBR-2751"
"2019-09-16 10:55:10","2019-09-20 04:55:32",0,"DEU"
"2019-08-09 08:00:46","2019-08-09 11:21:36",1,"SVK-1052"
"2018-12-02 17:55:13","2018-12-07 19:19:55",1,"SVK-1051"
"2018-05-14 17:50:21","2018-06-08 14:17:15",2,6327
"2018-12-02 12:59:56","2018-12-02 12:59:56",1,"SVK-1056"
"2019-06-22 17:12:28","2019-06-22 17:18:03",1,"NOR-75"
"2018-08-20 19:52:55","2018-08-22 07:03:04",2,6327
"2018-12-19 06:48:17","2018-12-19 06:49:01",1,"SVK-1056"
"2019-02-01 00:17:28","2019-02-01 13:11:46",2,5336
"2012-07-12 12:31:31","2012-07-12 13:15:07",2,4666
"2013-06-27 11:16:38","2013-06-27 13:19:42",2,6851
"2018-12-18 11:55:06","2019-01-16 21:38:30",2,6327
"2013-06-27 11:16:38","2013-06-28 20:37:18",1,"NOR-913"
"2018-05-13 15:52:27","2018-05-17 17:32:17",1,"SVK-1051"
"2018-12-18 11:55:06","2018-12-18 11:55:06",1,"SVK-1051"
"2019-09-15 12:35:52","2019-09-15 12:36:15",2,7169
"2018-02-02 01:17:24","2018-02-02 01:17:24",2,7313
"2018-11-29 18:13:05","2018-11-30 15:47:26",1,"SVK-1051"
"2018-07-29 16:09:31","2018-08-03 15:36:31",1,"SVK-1051"
"2018-12-18 11:55:06","2019-01-17 15:09:30",0,"SVK"
"2019-09-15 12:35:52","2019-09-15 12:36:15",1,"CZE-1595"
"2019-07-19 08:45:54","2019-07-19 15:54:25",1,"SVK-1051"
"2016-06-29 01:25:49","2016-06-30 14:02:35",1,"ISL-695"
"2018-01-24 01:43:00","2018-01-24 03:22:47",1,"NZL-5468"
"2019-09-15 12:35:52","2019-09-15 12:36:15",0,"CZE"
